"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"245","GADD45B",7.13089577577326e-60,-1.91842305419486,0.783,0.808,1.76988833154692e-55
"246","AP2M1",7.27327649676298e-60,1.62987348283926,0.613,0.124,1.80522722649657e-55
"247","TYMP",9.79575455753041e-60,1.35531620515362,0.737,0.227,2.43130628117905e-55
"248","NUCB1",1.27935709070245e-59,1.92017676672277,0.556,0.087,3.17536429912347e-55
"249","LOC102144782",1.32695047474294e-59,3.18760345790416,0.453,0.025,3.29349107831197e-55
"250","VPS13C",1.47670755646889e-59,1.66789486114252,0.54,0.078,3.66518815515579e-55
"251","M6PR",2.57587317016764e-59,1.49253506965738,0.599,0.112,6.39331720835607e-55
"252","SAMSN1",2.80487871360363e-59,-3.10651370657053,0.282,0.533,6.96170896716421e-55
"253","KCTD12",2.85413088902383e-59,1.46663690870564,0.591,0.11,7.08395286655715e-55
"254","EEF2",3.09705806676319e-59,1.37030894473241,0.696,0.181,7.68689812170623e-55
"255","TPT1",4.10956590844495e-59,1.24927386874532,0.775,0.249,1.01999425847604e-54
"256","SLC25A5",4.14908344077265e-59,2.22045808702548,0.506,0.057,1.02980250999977e-54
"257","RPL3",4.98569985869033e-59,1.9343662725851,0.529,0.071,1.23745070492694e-54
"258","PSMD2",5.89530554339878e-59,1.64659091245182,0.56,0.085,1.46321483587158e-54
"259","FAM129A",6.33822518961631e-59,-2.44328023654206,0.435,0.636,1.57314749206277e-54
"260","NRP2",7.9168191243967e-59,3.65646966578312,0.443,0.023,1.96495450667526e-54
"261","YWHAH",9.80311554353345e-59,2.2461310243311,0.501,0.055,2.433133277905e-54
"262","DNMT1",1.51498734587338e-58,2.46679873731868,0.491,0.053,3.76019859245773e-54
"263","LITAF",1.56508307825227e-58,-1.35172576298542,0.873,0.851,3.88453620022214e-54
"264","MRC1",1.62152439026438e-58,3.20024371805167,0.484,0.055,4.02462353663619e-54
"265","DPYSL2",2.49188899462717e-58,3.40423679979262,0.431,0.016,6.18486848466465e-54
"266","ATP1B1",2.71886714375724e-58,5.06635878706624,0.415,0.009,6.74822825080548e-54
"267","SERF2",3.2447290510616e-58,1.3109444240662,0.726,0.204,8.05341750473489e-54
"268","RPN2",4.6936745194689e-58,1.899755378277,0.489,0.048,1.16497001573218e-53
"269","CALM1",5.01961716548633e-58,1.08451167306118,0.788,0.252,1.24586898047371e-53
"270","RPL31",6.9407197292873e-58,1.53470612419794,0.521,0.066,1.72268663680911e-53
"271","EIF5A",1.04049484588347e-57,1.95173021968809,0.522,0.071,2.58250820748277e-53
"272","RPS29",1.8857331194731e-57,1.88823669660313,0.512,0.066,4.68038960253224e-53
"273","RMDN3",2.20892676428131e-57,3.1563667691273,0.465,0.043,5.4825562289462e-53
"274","ERP29",3.91336009303751e-57,1.46087176874819,0.568,0.096,9.71295975091909e-53
"275","TNFAIP3",5.08152360231779e-57,-1.95434186888871,0.672,0.748,1.26123415809528e-52
"276","ATPIF1",6.46911536234339e-57,2.32324405734573,0.476,0.046,1.60563443293363e-52
"277","EPB41L2",6.76451312148716e-57,2.3956645689747,0.462,0.037,1.67895215675311e-52
"278","LOC102140945",6.80316161997652e-57,1.45159320016531,0.727,0.245,1.68854471407817e-52
"279","IDO1",7.37901879898472e-57,-1.19358871715626,0.702,0.86,1.83147246590801e-52
"280","PSMB6",1.57197644231461e-56,1.5934484754568,0.533,0.078,3.90164552982487e-52
"281","LOC102128659",1.9591438668683e-56,1.66872996599267,0.552,0.092,4.86259507756711e-52
"282","SURF4",2.10049616216381e-56,1.90363180575763,0.498,0.059,5.21343147449058e-52
"283","SND1",2.35290711894345e-56,2.30960604210879,0.477,0.048,5.83991546921765e-52
"284","SLAMF8",5.77774824707215e-56,2.65331919471648,0.46,0.041,1.43403711492331e-51
"285","AKR1B1",6.35464397900713e-56,2.10171918051517,0.477,0.048,1.57722263558957e-51
"286","AREG",6.90377821956579e-56,4.75304386861744,0.41,0.014,1.71351775409623e-51
