"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.52387266101741e-28,0.719107831663246,0.612,0.308,8.74625194464522e-24,"11","DSTN"
3.62858032287401e-28,1.07732726674245,0.299,0.108,9.0061363613733e-24,"11","TMEM33"
3.87068150438397e-28,0.814687678148843,0.428,0.184,9.60703149388102e-24,"11","NT5C2"
4.12215674232587e-28,0.655640892010958,0.564,0.274,1.02311930344528e-23,"11","MARCH1"
4.24985211365297e-28,0.85247563182566,0.468,0.21,1.05481329460867e-23,"11","LAMTOR1"
4.66638612184193e-28,0.753622066822047,0.588,0.299,1.15819703544117e-23,"11","SNX1"
5.58894113944162e-28,0.72192433513966,0.548,0.264,1.38717519080941e-23,"11","VAMP3"
6.64987876655632e-28,0.650478366358957,0.326,0.12,1.65049990985928e-23,"11","SLC12A6"
7.14478069791992e-28,0.604738678967359,0.484,0.213,1.77333456922372e-23,"11","GSAP"
7.85187303393529e-28,0.803869888692635,0.513,0.244,1.94883488702274e-23,"11","CLEC7A"
8.17688838626648e-28,1.20554031637793,0.259,0.086,2.02950369747134e-23,"11","EVI5"
1.00746134725677e-27,0.795442842576106,0.556,0.275,2.5005190638913e-23,"11","KCNAB2"
1.05447355639419e-27,0.766500146811972,0.676,0.387,2.61720336697039e-23,"11","S100A11"
1.21200435835816e-27,0.804319326958063,0.313,0.114,3.00819481744496e-23,"11","SPRED1"
1.262339232485e-27,0.800600250983167,0.307,0.111,3.13312597502776e-23,"11","PTRH1"
1.45632417011525e-27,0.79919513915109,0.332,0.125,3.61459659022604e-23,"11","ITSN1"
1.49836334452039e-27,0.859736241043202,0.377,0.153,3.71893782109961e-23,"11","RNF141"
1.63121098532556e-27,0.704150179223544,0.286,0.099,4.04866566557805e-23,"11","IFI44L"
1.6519480379661e-27,0.950689013497576,0.334,0.128,4.10013503023186e-23,"11","STXBP2"
1.75402087594467e-27,0.640505468134957,0.471,0.211,4.35347981409467e-23,"11","IQSEC1"
1.83884761000544e-27,0.740766196329955,0.553,0.267,4.5640197680335e-23,"11","SNX2"
1.87646881537289e-27,0.881040629146586,0.302,0.109,4.6573955997555e-23,"11","SLC18B1"
2.11818673508721e-27,0.621543094319696,0.414,0.171,5.25733947648644e-23,"11","GSTM5"
2.63774717003611e-27,1.21861833501788,0.254,0.085,6.54688847602961e-23,"11","FIG4"
2.95174174352671e-27,0.911119309438687,0.369,0.148,7.3262230074333e-23,"11","CAMKK2"
3.08141437533488e-27,0.837782622724353,0.444,0.195,7.64807047958117e-23,"11","OGDH"
3.22866176046692e-27,0.687404362366885,0.719,0.44,8.0135384894789e-23,"11","IGF2R"
3.35068217426566e-27,1.0013364711013,0.356,0.143,8.31639315652737e-23,"11","LSM6"
3.74699657688565e-27,1.02980284314065,0.297,0.107,9.30004550383018e-23,"11","NACC2"
4.12684946987498e-27,0.756340999619087,0.318,0.118,1.02428403842297e-22,"11","ALPK1"
4.86894456931922e-27,0.737019846816206,0.561,0.282,1.20847204210503e-22,"11","SEL1L"
5.30144802332124e-27,0.47164388102232,0.92,0.718,1.31581939938833e-22,"11","CTSS"
5.54702342548241e-27,0.781767856450493,0.43,0.188,1.37677121420473e-22,"11","LOC102116023"
6.95013111655071e-27,0.880336924757756,0.281,0.098,1.72502254312789e-22,"11","NAPG"
7.29450223957193e-27,0.692920369153637,0.572,0.286,1.81049545586175e-22,"11","EIF5B"
7.62319124406297e-27,0.876639938747713,0.289,0.102,1.89207606677643e-22,"11","RIOK1"
8.24908436562587e-27,0.624957560627613,0.714,0.402,2.04742273954834e-22,"11","TSPO"
9.92534573094774e-27,0.733398102345306,0.586,0.297,2.46347081042123e-22,"11","ATF3"
1.32190306275829e-26,1.05609174497923,0.294,0.107,3.28096340176607e-22,"11","CNTLN"
1.67276002365465e-26,0.407890780953086,0.452,0.195,4.15179037871085e-22,"11","F11R"
1.67354720126869e-26,0.829823499955461,0.425,0.184,4.15374415354889e-22,"11","SLC44A1"
1.70279305938624e-26,0.700356226008565,0.414,0.177,4.22633237339665e-22,"11","CPNE3"
1.74162919649378e-26,0.588108863258651,0.329,0.126,4.32272366569755e-22,"11","LOC102120532"
1.98746561710276e-26,1.16204244097365,0.273,0.096,4.93288966164906e-22,"11","KLF11"
2.32554053861682e-26,0.766346125077387,0.567,0.289,5.77199161684694e-22,"11","ZC3H13"
2.91498220896349e-26,0.806188664083476,0.283,0.101,7.23498584264738e-22,"11","BFAR"
2.92369454615479e-26,0.70890086363736,0.495,0.231,7.25660986355619e-22,"11","PCYOX1"
3.01831135781873e-26,0.835884256698868,0.497,0.236,7.49144879010608e-22,"11","AGTRAP"
3.18400995618694e-26,0.613564997949553,0.503,0.236,7.90271271125599e-22,"11","MYDGF"
3.18667406943084e-26,1.07701113278887,0.345,0.137,7.90932504032735e-22,"11","NENF"
3.43926146003692e-26,0.881046487970413,0.265,0.092,8.53624694381165e-22,"11","SVBP"
3.45844286102322e-26,0.735958369962002,0.294,0.108,8.58385518105963e-22,"11","GNPAT"
3.53199054001291e-26,0.661049060120296,0.318,0.12,8.76640052031204e-22,"11","ILVBL"
3.59220634127762e-26,0.83358808381991,0.476,0.221,8.91585613905105e-22,"11","ECH1"
4.05969820529669e-26,0.975627100588878,0.356,0.144,1.00761709455464e-21,"11","BAG3"
4.81344608239337e-26,0.84101782756558,0.455,0.206,1.19469731765003e-21,"11","LOC102143665"
4.8383870382439e-26,0.652720412398171,0.561,0.282,1.20088766289214e-21,"11","PRNP"
5.02711917117294e-26,0.583246073709524,0.278,0.098,1.24773097828512e-21,"11","HTATIP2"
5.18971128989982e-26,0.730243324589091,0.54,0.266,1.28808634215313e-21,"11","LOC102139602"
5.33724481442698e-26,0.895969910455173,0.332,0.129,1.32470416294078e-21,"11","TOMM5"
6.18792623653504e-26,0.67944349875462,0.537,0.263,1.535843291908e-21,"11","P2RX4"
6.61636461704539e-26,0.908647443889833,0.267,0.093,1.64218169795067e-21,"11","SLC17A5"
7.06504177528274e-26,0.622866574525663,0.34,0.132,1.75354336862518e-21,"11","PAFAH1B2"
7.42538717653933e-26,0.968748128492288,0.27,0.095,1.84298109721706e-21,"11","IFFO1"
8.12335518726298e-26,0.999301405431835,0.348,0.14,2.01621675747867e-21,"11","LYAR"
9.28221934751904e-26,0.678695811176629,0.674,0.381,2.30384684205423e-21,"11","SDCBP"
9.96339271541496e-26,0.595424058771701,0.409,0.173,2.47291407196599e-21,"11","KIF16B"
1.11435292771051e-25,0.983533479835342,0.374,0.155,2.76582396657748e-21,"11","HIGD1A"
1.25905598204855e-25,0.646894677095352,0.452,0.199,3.12497694744451e-21,"11","PSEN1"
1.38763817678581e-25,0.981490913758671,0.267,0.094,3.44411795478239e-21,"11","UBE2D4"
1.42601810825704e-25,0.632657676472535,0.273,0.096,3.53937694469397e-21,"11","MRPL15"
1.49393015177566e-25,0.579638197078375,0.369,0.15,3.70793463670719e-21,"11","LSM12"
2.15728123053159e-25,0.824128269923651,0.321,0.124,5.35437201417941e-21,"11","SIRPB2"
2.34824044594076e-25,0.834414195963733,0.479,0.225,5.82833278682496e-21,"11","UNC93B1"
2.49008896180922e-25,0.884814925285613,0.388,0.165,6.18040080321049e-21,"11","NMRAL1"
2.58109140600969e-25,0.343091483533384,0.35,0.138,6.40626886971605e-21,"11","FOXN2"
2.64547135656697e-25,0.679601949499625,0.679,0.377,6.56605990699921e-21,"11","LOC102140918"
2.80271389846055e-25,0.63795686861565,0.679,0.373,6.95633589597909e-21,"11","ALDH1A1"
3.3225105416842e-25,0.233823041159564,0.722,0.368,8.24647116446018e-21,"11","C1QA"
3.63700053144358e-25,1.00590049604344,0.34,0.136,9.02703531904296e-21,"11","GLMP"
5.2340389149545e-25,0.752511868306644,0.444,0.201,1.29908845869171e-20,"11","UBE2G2"
5.48626918405348e-25,0.397370090620126,0.414,0.177,1.36169201148207e-20,"11","WDFY4"
5.49185527411574e-25,0.636757302713382,0.735,0.447,1.36307847903553e-20,"11","SH3BGRL"
5.8015134045574e-25,0.899002448852957,0.31,0.12,1.43993562701115e-20,"11","SPNS1"
5.8650581431093e-25,0.677468346659357,0.337,0.134,1.45570743111973e-20,"11","ITFG1"
5.87981311130161e-25,0.799563015577311,0.575,0.298,1.45936961422506e-20,"11","YWHAG"
6.03807756632424e-25,0.763352507881559,0.433,0.193,1.49865085196168e-20,"11","UPF2"
6.04474908351589e-25,0.737086131196717,0.578,0.307,1.50030672252864e-20,"11","AKR1B1"
7.86492086562185e-25,0.770432992940345,0.302,0.114,1.95207335884734e-20,"11","SEPN1"
8.74200127103602e-25,0.985760424486069,0.27,0.097,2.16976471547114e-20,"11","LOC102121005"
9.38909340885651e-25,0.235941762249365,0.741,0.427,2.33037298407818e-20,"11","IL1B"
9.6132763807216e-25,0.690803584920338,0.297,0.111,2.3860151976951e-20,"11","LPCAT3"
